{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Kressenweg,de:02000:82022::820102,"186,284,392,M22,X3",5,"Expressbus, Metrobus, Stadtbus",649,POINT (9.872026 53.586186),EPSG:4326
Achtern Styg,de:02000:82024::820106,"186,392,M22",3,"Metrobus, Stadtbus",420,POINT (9.866683 53.581925),EPSG:4326
Blomkamp,de:02000:82026::820117,"186,M16",2,"Metrobus, Stadtbus",221,POINT (9.859812 53.577242),EPSG:4326
Jochim-Sahling-Weg,de:02000:82027::820119,M16,1,Metrobus,59,POINT (9.851273 53.576410),EPSG:4326
Rugenfeld,de:02000:82029::820125,"M16,M21",2,Metrobus,300,POINT (9.850589 53.578726),EPSG:4326
Immenbusch,de:02000:82030::820129,"M16,M21,N602,X3",4,"Expressbus, Metrobus, Nachtbus",517,POINT (9.853472 53.583955),EPSG:4326
Achtern Born (Kindermuseum),de:02000:82031::820131,"M16,M21,N602,X3",4,"Expressbus, Metrobus, Nachtbus",525,POINT (9.851798 53.587062),EPSG:4326
Böttcherkamp,de:02000:82032::820133,"M16,M21,N602,X3",4,"Expressbus, Metrobus, Nachtbus",525,POINT (9.853003 53.593608),EPSG:4326
Neißestraße,de:02000:82038::820049,"184,186,384",3,Stadtbus,240,POINT (9.864550 53.607080),EPSG:4326
Weistritzstraße,de:02000:82039::820047,"184,186,384",3,Stadtbus,321,POINT (9.871950 53.606720),EPSG:4326
Baumläuferweg,de:02000:82040::820045,"184,186,384",3,Stadtbus,321,POINT (9.876710 53.604210),EPSG:4326
Langbargheide (Süd),de:02000:82055::820007,M22,1,Metrobus,236,POINT (9.891240 53.593190),EPSG:4326
Vorhornweg,de:02000:82058::820194,"284,392,M22",3,"Metrobus, Stadtbus",391,POINT (9.881563 53.592336),EPSG:4326
Pinneberger Chaussee,de:02000:83000::830009,"284,M4",2,"Metrobus, Stadtbus",207,POINT (9.889617 53.618522),EPSG:4326
Julius-Vosseler-Straße,de:02000:83002::830010,181,1,Stadtbus,171,POINT (9.946860 53.590540),EPSG:4326
U Hagenbecks Tierpark,de:02000:83003::830014,"181,281,391,392,M22,X22",6,"Expressbus, Metrobus, Stadtbus",768,POINT (9.943394 53.593352),EPSG:4326
Deelwisch,de:02000:83004::830023,181,1,Stadtbus,151,POINT (9.941941 53.598521),EPSG:4326
Hagenbeck (Nordeingang),de:02000:83005::830025,181,1,Stadtbus,151,POINT (9.937718 53.598469),EPSG:4326
Informatikum,de:02000:83006::830019,"181,281",2,Stadtbus,365,POINT (9.932139 53.597568),EPSG:4326
Wegenkamp,de:02000:83007::830029,281,1,Stadtbus,215,POINT (9.926180 53.598790),EPSG:4326
Jütländer Allee,de:02000:83008::830031,181,1,Stadtbus,151,POINT (9.931220 53.601620),EPSG:4326
Oldenburger Straße,de:02000:83009::830033,181,1,Stadtbus,151,POINT (9.929044 53.605651),EPSG:4326
Niendorfer Gehege,de:02000:83010::830035,181,1,Stadtbus,132,POINT (9.926630 53.609990),EPSG:4326
Rathaus Stellingen,de:02000:83011::830037,"281,392,M22",3,"Metrobus, Stadtbus",513,POINT (9.934947 53.592690),EPSG:4326
BAB-Auffahrt Stellingen,de:02000:83012::830039,"115,183,392,M4,N603",5,"Metrobus, Nachtbus, Stadtbus",463,POINT (9.922250 53.596575),EPSG:4326
A Eidelstedt Zentrum,de:02000:83013:1:830012,"181,184,281,284,384,M4,N603",7,"Metrobus, Nachtbus, Stadtbus",694,POINT (9.901120 53.610210),EPSG:4326
Wördemanns Weg,de:02000:83014::830020,"115,183,281,392,M4,N603",6,"Metrobus, Nachtbus, Stadtbus",678,POINT (9.917210 53.599700),EPSG:4326
Reichsbahnstraße,de:02000:83015::830052,"115,183,281,392,M4,N603",6,"Metrobus, Nachtbus, Stadtbus",678,POINT (9.912118 53.602589),EPSG:4326
Furtweg,de:02000:83016::820035,"184,284,384,392,M21,N603",6,"Metrobus, Nachtbus, Stadtbus",571,POINT (9.898850 53.605700),EPSG:4326
Eidelstedter Platz,de:02000:83017::830000,"115,181,183,184,281,284,384,392,M21,M4,N603",11,"Metrobus, Nachtbus, Stadtbus",632,POINT (9.904423 53.608292),EPSG:4326
Wiebischenkamp,de:02000:83018:2:830064,"183,M21,N603",3,"Metrobus, Nachtbus, Stadtbus",357,POINT (9.907030 53.616240),EPSG:4326
Eidelstedter Brook,de:02000:83019::830067,"183,M21,N603",3,"Metrobus, Nachtbus, Stadtbus",357,POINT (9.908763 53.622702),EPSG:4326
Spanische Furt,de:02000:83020::830070,"M21,N603",2,"Metrobus, Nachtbus",250,POINT (9.916999 53.625109),EPSG:4326
Lohkampstraße 45,de:02000:83021::830077,"181,281",2,Stadtbus,254,POINT (9.899848 53.609591),EPSG:4326
Niekampsweg,de:02000:83022::830079,"181,281",2,Stadtbus,254,POINT (9.895352 53.611148),EPSG:4326
Redingskamp,de:02000:83023::830091,"181,281",2,Stadtbus,213,POINT (9.890850 53.612630),EPSG:4326
Feldrosenweg,de:02000:83024::830083,281,1,Stadtbus,170,POINT (9.885690 53.613840),EPSG:4326
Jasminweg,de:02000:83025::830085,281,1,Stadtbus,170,POINT (9.880480 53.614720),EPSG:4326
