{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Meßberg U,de:02000:11903:1:119006,U1,1,U-Bahn,441,POINT (566315.598463 5933658.216579),EPSG:25832
Mönckebergstraße U,de:02000:11904,U3,1,U-Bahn,481,POINT (566376.679297 5934064.596473),EPSG:25832
Rathaus U,de:02000:11905,U3,1,U-Bahn,481,POINT (565857.791267 5933958.718222),EPSG:25832
Rödingsmarkt U,de:02000:11906,U3,1,U-Bahn,481,POINT (565386.636092 5933711.457690),EPSG:25832
Baumwall U,de:02000:11907:1:119014,U3,1,U-Bahn,481,POINT (565060.378481 5933263.214624),EPSG:25832
Messehallen U,de:02000:11909:1:119018,U2,1,U-Bahn,453,POINT (564702.280840 5934795.989309),EPSG:25832
Gänsemarkt(Oper) U,de:02000:11910:1:119020,U2,1,U-Bahn,453,POINT (565319.766688 5934540.981856),EPSG:25832
Feldstraße(Heiligengeistfeld) U,de:02000:11911:1:119022,U3,1,U-Bahn,481,POINT (564162.682816 5934663.040796),EPSG:25832
Überseequartier U,de:02000:11941:1:119411,U4,1,U-Bahn,238,POINT (566142.821117 5932851.244686),EPSG:25832
HafenCity Universität U,de:02000:11942:1:119422,U4,1,U-Bahn,238,POINT (566759.418665 5932883.313429),EPSG:25832
Elbbrücken S,de:02000:11943:1:119431,"S3,S31",2,S-Bahn,421,POINT (567921.839315 5932259.649953),EPSG:25832
Jungfernstieg S,de:02000:11950:4:119102,"S1,S2,S3",3,S-Bahn,531,POINT (565810.643300 5934145.267000),EPSG:25832
Hamburg Dammtor S,de:02000:11951:1:119104,"A1,S11,S21,S31",4,"Regionalverkehr, S-Bahn",528,POINT (565527.627300 5935156.810000),EPSG:25832
Billwerder-Moorfleet S,de:02000:21950:1:219100,"S2,S21",2,S-Bahn,300,POINT (572726.953120 5930201.926725),EPSG:25832
